src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
JAM,HTI,142,6115.66666666667,43.0680751173709,0.0105302187615869,0.0232190548863574
POL,SWE,75,6405.25000000001,85.4033333333334,0.00523194977328218,0.0117091448421217
LKA,SOM,176,21052.8333333334,119.618371212121,0.0482191780821918,0.0083599198841011
FRA,TUN,449,63563.5000000001,141.566815144766,0.010322313669594,0.00706380233939288
GNQ,GAB,1348,5539.50000000001,4.10942136498517,0.108779857972886,0.243343262027259
CYP,GRC,517,62262.7500000001,120.43085106383,0.0603126458236118,0.00830352016253698
PAN,CUB,149,20739.75,139.192953020134,0.00516321297387206,0.00718427174869513
SUR,CRI,14,2117.5,151.25,0.00115702479338843,0.00661157024793388
MYS,VNM,2372,304474.833333335,128.362071388421,0.0161038467283121,0.00779046325120464
JAM,HND,185,19828.75,107.182432432433,0.0137189469781238,0.00932988715879719
NGA,TGO,22,386.916666666667,17.5871212121212,0.00167465935906219,0.0568597889295714
VNM,JPN,417,61180.1666666667,146.715027977618,0.00825791631186011,0.00681593435781203
SLV,CRI,52,4256.91666666667,81.8637820512821,0.00646283867760378,0.0122154141299454
KWT,OMN,177,26145.9166666667,147.717043314501,0.0167470905478286,0.00676969953880624
BRA,ATG,45,5269.41666666667,117.098148148148,0.00215372834306499,0.00853984470134264
MAR,TUN,55,7851.25000000001,142.75,0.00169821224565412,0.00700525394045533
PLW,MYS,4,556.666666666668,139.166666666667,0.00185185185185185,0.00718562874251496
SEN,SLE,46,7595.16666666668,165.11231884058,0.00337466069987528,0.00605648328981149
LVA,SWE,36,4027.83333333334,111.884259259259,0.0026793688597797,0.00893780775437579
HND,CRI,16,628.333333333334,39.2708333333334,0.000368239355581128,0.0254641909814323
IND,ARE,16,2227.25,139.203125,0.000525468816709908,0.00718374677292625
COL,DOM,5,393.916666666667,78.7833333333334,8.38898023556257e-05,0.0126930399830759
DOM,BLZ,27,4173.08333333334,154.558641975309,0.000972237225883116,0.00647003614433771
NGA,GHA,48,2823,58.8125,0.00365380223795387,0.0170031880977683
BGR,GEO,9,1213.08333333334,134.787037037037,0.0176125244618395,0.00741911108057978
SDN,SOM,9,1028.08333333334,114.231481481482,0.00137846530862307,0.00875415417038176
TZA,SDN,2,338.833333333334,169.416666666667,6.19367625654207e-05,0.00590260698475159
ISR,CYP,40,4786.00000000001,119.65,0.0045876820736323,0.00835770998746342
PLW,CHN,1,167.916666666667,167.916666666667,0.000462962962962963,0.00595533498759304
DMA,BRB,3,72.4166666666667,24.1388888888889,0.00209497206703911,0.0414269275028769
MMR,MYS,1,180,180,2.96621481327678e-05,0.00555555555555556
TZA,ERI,1,86.9166666666667,86.9166666666667,3.09683812827104e-05,0.0115052732502397
MYS,KHM,2,279.833333333334,139.916666666667,1.35782856056594e-05,0.00714711137581892
GHA,TGO,10013,23661.7500000002,2.36310296614403,0.659487584798788,0.423172419622384
CHL,PER,19214,93455.5833333278,4.86393168175954,0.142143771315277,0.205594992986877
MYS,IDN,72107,5275202.91666674,73.1579862796502,0.489544720083642,0.0136690476440596
MYS,PHL,37714,2774694.58333329,73.572004649024,0.25604573166592,0.0135921265808987
ESP,MAR,15474,241283.916666661,15.5928600663475,0.288022335970219,0.0641319165146745
CHN,JPN,9156,1240764.5,135.51381607689,0.15201726714262,0.00737932137806972
CAN,USA,87796,1313568.16666667,14.9615946816105,0.776618988226344,0.0668377951201362
GRC,LBY,35703,3304432.24999992,92.5533498585531,0.687495186012478,0.0108045792132675
MNE,ALB,3040,31818.2500000001,10.4665296052632,0.301139177810797,0.0955426524086018
JPN,RUS,13530,137409.249999997,10.1558943089429,0.990410658077739,0.0984649868913502
ECU,CRI,24,3176.41666666667,132.350694444445,0.00183360073344029,0.00755568381562031
GAB,NGA,652,72609.5833333334,111.364391615542,0.0279384668123581,0.00897953093886825
NGA,BEN,2447,7552.58333333334,3.08646642146847,0.18626779325569,0.323995101014002
AUS,IDN,5391,614395.083333334,113.966811970568,0.9359375,0.00877448427932026
CUB,USA,1791,180024,100.515912897823,0.500838926174497,0.00994867351019863
GHA,NGA,1873,169199.25,90.3359583555794,0.123361654481986,0.0110697890209324
HRV,GRC,183,24246.5,132.494535519126,0.00682352063835341,0.00754748107974346
DJI,SOM,3275,93040.8333333335,28.4094147582698,0.191397346736018,0.0351995987424875
COL,CUB,1470,174067.333333334,118.413151927438,0.0246636018925539,0.00844500787051752
PRT,DZA,1275,128643.666666667,100.896993464052,0.0647109577221743,0.00991109809784649
GHA,LBR,4,233.333333333333,58.3333333333334,0.000263452545610222,0.0171428571428571
LBY,LBN,80,11278.75,140.984375,0.021959923140269,0.00709298459492407
SDN,DJI,27,2952.08333333334,109.336419753087,0.0041353959258692,0.00914608327452363
ISR,SYR,67,5698.91666666668,85.0584577114429,0.0076843674733341,0.0117566204103119
IDN,VNM,367,54799.7500000001,149.318119891008,0.00358489460214508,0.00669711084448377
HTI,NIC,74,9120.08333333335,123.24436936937,0.00248915200645834,0.00811396094699426
TTO,BLZ,177,27251.0833333334,153.960922787194,0.0091943275673991,0.00649515462688027
ARE,IND,67,8985.91666666668,134.11815920398,0.00402813683640955,0.00745611187877325
RUS,KOR,62,4010.75,64.6895161290323,0.00050620509470934,0.0154584554011095
PRT,FRA,21,2258.16666666667,107.531746031746,0.00106582753895346,0.00929957930474573
LBY,MLT,45,5183.33333333334,115.185185185185,0.0123524567664013,0.00868167202572346
GRD,BLZ,11,1836.16666666667,166.924242424243,0.00415407854984894,0.00599074158119269
CUB,PAN,11,1596.91666666667,145.174242424243,0.00307606263982103,0.00688827427855763
SOM,MOZ,14,2049.16666666667,146.369047619048,0.000591590957109656,0.0068320455469703
BGD,IDN,5,790.166666666668,158.033333333334,0.000358551452133381,0.00632777894958868
WSM,SLB,3,458.666666666667,152.888888888889,0.0027906976744186,0.0065406976744186
SLE,CMR,3,505.750000000001,168.583333333334,0.000292112950340798,0.00593178447849727
DZA,GRC,5,702.583333333335,140.516666666667,0.000272687609075044,0.00711659352389988
MMR,SOM,3,504.500000000001,168.166666666667,8.89864443983033e-05,0.00594648166501486
BRA,PAN,4,649.250000000001,162.3125,0.000191442519383555,0.00616095494801693
GUY,MEX,2,343,171.5,0.0100502512562814,0.00583090379008746
GUY,GRD,4,127.583333333333,31.8958333333333,0.0201005025125628,0.0313520574787721
GAB,LBR,1,179.833333333333,179.833333333333,4.28504092214081e-05,0.00556070435588509
BRB,BLZ,3,439.750000000001,146.583333333334,0.00259291270527226,0.00682205798749288
GAB,BRA,1,174.916666666667,174.916666666667,4.28504092214081e-05,0.0057170080990948
LKA,MYS,4,657.666666666668,164.416666666667,0.0010958904109589,0.0060821084642676
GAB,GHA,1,144.166666666667,144.166666666667,4.28504092214081e-05,0.00693641618497108
MLT,MNE,1,126.916666666667,126.916666666667,0.000642260757867694,0.00787918581746551
COL,PAN,25645,702457.749999994,27.3916065509844,0.430270796282004,0.0365075337271177
JAM,BLZ,292,35964.8333333334,123.167237442923,0.0216536892843901,0.00811904221253167
DOM,HTI,20639,141670.833333331,6.86422953308451,0.743185337222282,0.14568277403606
GIN,SLE,4996,75945.9166666635,15.2013444088598,0.946212121212121,0.0657836552546741
MYS,THA,18203,1059891.41666665,58.2261944001894,0.123582766439909,0.0171744008053658
GAB,GNQ,19625,503141.250000001,25.637770700637,0.840939280970133,0.0390049513928742
