iso3,year,pop,gdp_pc
MMR,2009,48660459,785.634853168658
MMR,2010,49024382,854.932478027749
MMR,2011,49419820,895.512538762631
MMR,2012,49837446,953.123081936485
MMR,2013,50262658,1024.69060474658
MMR,2014,50681634,1099.24387751605
MMR,2015,51089056,1163.0172817688933
MMR,2016,51495696,1226.7906860217365
MMR,2017,51894938,1290.56409027458
MMR,2018,52272247,1361.56831265985
MMR,2019,52640713,1331.441088092175
MMR,2020,53016522,1301.3138635245
MMR,2021,53387102,1136.99566055698
MNE,2003,612267,4581.10700736435
MNE,2004,613353,4775.39883026359
MNE,2005,614261,4967.68527082416
MNE,2006,615025,5386.53833750521
MNE,2007,615875,5763.04035952173
MNE,2008,616969,6149.68558098863
MNE,2009,618294,5768.65709477479
MNE,2010,619428,5917.91788713074
MNE,2011,620345,6110.66013917018
MNE,2012,621418,5948.3791195297
MNE,2013,622587,6138.25153608056
MNE,2014,623744,6272.09116381077
MNE,2015,624651,6461.697960674574
MNE,2016,625353,6651.304757538376
MNE,2017,625982,6840.91155440218
MNE,2018,626438,7159.47114735985
MNE,2019,626753,6755.7130052823395
MNE,2020,626590,6351.95486320483
MNE,2021,625053,7198.30460781272
MOZ,2003,19392475,356.521157404125
MOZ,2004,19840313,377.064958084878
MOZ,2005,20304569,391.699758163976
MOZ,2006,20787087,420.526462764726
MOZ,2007,21287635,442.049574057751
MOZ,2008,21819036,460.94729485679
MOZ,2009,22391745,475.788178051193
MOZ,2010,22999235,494.162859074785
MOZ,2011,23649039,514.869957191994
MOZ,2012,24337846,540.2945177803
MOZ,2013,25051611,559.393953685688
MOZ,2014,25788475,585.266716133984
MOZ,2015,26547572,596.3103755427674
MOZ,2016,27337105,607.3540349515506
MOZ,2017,28166393,618.397694360334
MOZ,2018,29018644,621.153734194787
MOZ,2019,29884380,606.4788970903595
MOZ,2020,30783688,591.804059985932
MOZ,2021,31707800,588.215854695416
MRT,2003,2802046,1308.56307582578
MRT,2004,2868664,1338.66768122804
MRT,2005,2939059,1418.53202144135
MRT,2006,3013660,1637.04191255803
MRT,2007,3093059,1563.60628765192
MRT,2008,3183269,1514.2655013629
MRT,2009,3284448,1469.05426880813
MRT,2010,3390965,1460.19179652873
MRT,2011,3502811,1472.55245572229
MRT,2012,3619034,1488.97177557214
MRT,2013,3734318,1502.90142381083
MRT,2014,3848514,1520.64621634902
MRT,2015,3965959,1539.12033698322
MRT,2016,4086657,1557.59445761742
MRT,2017,4210600,1576.06857825162
MRT,2018,4337685,1602.90225649072
MRT,2019,4467708,1578.104206178315
MRT,2020,4600131,1553.30615586591
MRT,2021,4734874,1520.3111804259
MUS,2003,1213370,6250.2637051329
MUS,2004,1221003,6480.13648507258
MUS,2005,1228254,6556.38819193225
MUS,2006,1233996,6843.39977734988
MUS,2007,1239630,7202.43853899489
MUS,2008,1244121,7563.03143738425
MUS,2009,1247429,7793.0308214588
MUS,2010,1250400,8114.82056038003
MUS,2011,1252404,8432.19129317694
MUS,2012,1255882,8702.82242878289
MUS,2013,1258927,8973.51550099533
MUS,2014,1261208,9300.07878638583
MUS,2015,1262879,9660.02381448162
MUS,2016,1263747,10019.96884257741
MUS,2017,1264887,10379.9138706732
MUS,2018,1265577,10789.9241521132
MUS,2019,1265985,10136.800089210836
MUS,2020,1266014,9483.67602630847
MUS,2021,1266334,9804.0031863121
MYS,2003,24679602,6732.92049458099
MYS,2004,25256772,7025.34558004381
MYS,2005,25836071,7234.02442689141
MYS,2006,26417909,7469.8106921211
MYS,2007,26998389,7769.59693350488
MYS,2008,27570059,7976.11785374773
MYS,2009,28124778,7700.46111294033
MYS,2010,28655776,8118.92270511981
MYS,2011,29162039,8400.32248683558
MYS,2012,29662831,8710.52671359902
MYS,2013,30174265,8964.80724896203
MYS,2014,30696137,9341.73055971278
MYS,2015,31232798,9659.074679987254
MYS,2016,31789685,9976.418800261727
MYS,2017,32355644,10293.7629205362
MYS,2018,32910967,10610.1950240479
MYS,2019,33440596,10390.83040416205
MYS,2020,33889558,10171.4657842762
MYS,2021,34282399,10388.2667120857
NAM,2003,1917464,3232.30589658857
NAM,2004,1942082,3582.89503259701
NAM,2005,1966582,3627.75059772278
NAM,2006,1991888,3834.99894666178
NAM,2007,2018600,3987.61796106565
NAM,2008,2047056,4036.38187484707
NAM,2009,2077394,3989.20711387651
NAM,2010,2109811,4165.12990200988
NAM,2011,2146325,4302.72451368462
NAM,2012,2194654,4420.96741373862
NAM,2013,2252508,4549.26759093897
NAM,2014,2312139,4701.95694189098
NAM,2015,2374300,4626.882375934337
NAM,2016,2439213,4551.807809977693
NAM,2017,2506853,4476.73324402105
NAM,2018,2577327,4400.47537705743
NAM,2019,2650494,4093.987408395145
NAM,2020,2728762,3787.49943973286
NAM,2021,2810548,3809.80753359714
NGA,2003,137202644,1717.2145111176
NGA,2004,141057045,1824.80269456773
NGA,2005,145017253,1889.25175325818
NGA,2006,149077334,1949.15856804565
NGA,2007,153267261,2020.83316299454
NGA,2008,157595014,2098.28339220668
NGA,2009,162049464,2204.6072560373
NGA,2010,166642886,2315.46676509663
NGA,2011,171379598,2370.97657091803
NGA,2012,176200625,2403.65387896924
NGA,2013,181049443,2495.34106573749
NGA,2014,185896915,2583.6155695814
NGA,2015,190671878,2536.3145010692265
NGA,2016,195443700,2489.0134325570534
NGA,2017,200254579,2441.71236404488
NGA,2018,204938755,2431.77857832568
NGA,2019,209485641,2330.23244627728
NGA,2020,213996181,2228.68631422888
NGA,2021,218529286,2206.66406250067
NIC,2003,5210963,1494.95618752566
NIC,2004,5272912,1555.87425694816
NIC,2005,5342105,1601.48770707458
NIC,2006,5418855,1644.37193565251
NIC,2007,5497243,1703.20780299405
NIC,2008,5576593,1736.65740610408
NIC,2009,5656601,1655.72028962416
NIC,2010,5737450,1704.37875049059
NIC,2011,5819051,1786.62863418308
NIC,2012,5901287,1876.1759720149
NIC,2013,5983845,1941.45628552626
NIC,2014,6066492,2006.64869646533
NIC,2015,6149417,2074.3100423875967
NIC,2016,6232666,2141.9713883098634
NIC,2017,6316231,2209.63273423213
NIC,2018,6400080,2107.3396261623
NIC,2019,6483657,2028.7657191735152
NIC,2020,6565267,1950.19181218473
NIC,2021,6644741,2128.30881395452
NLD,2003,16225302,40981.8477039972
NLD,2004,16281779,41663.1477772692
NLD,2005,16319868,42411.3453838518
NLD,2006,16346101,43841.1223404104
NLD,2007,16381696,45445.522872349
NLD,2008,16445593,46227.211156219
NLD,2009,16530388,44304.4119317351
NLD,2010,16615394,44659.272839058
NLD,2011,16693074,45239.7318887962
NLD,2012,16754962,44631.8745388789
NLD,2013,16804432,44487.03063469
NLD,2014,16865008,45042.0669545832
NLD,2015,16939923,45918.079878165365
NLD,2016,17030314,46794.09280174753
NLD,2017,17131296,47670.1057253297
NLD,2018,17231624,48463.0299739951
NLD,2019,17344874,47774.805196632646
NLD,2020,17441500,47086.5804192702
NLD,2021,17533044,49780.8440526836
NOR,2003,4564855,69719.3122573679
NOR,2004,4591910,72090.9862854901
NOR,2005,4623291,73524.2549197612
NOR,2006,4660677,74729.7365961068
NOR,2007,4709153,76115.7066768285
NOR,2008,4768212,75535.2118003041
NOR,2009,4828726,73141.3073299889
NOR,2010,4889252,72804.3956188398
NOR,2011,4953088,72660.6754124944
NOR,2012,5018573,73661.6785830334
NOR,2013,5079623,73515.9144917472
NOR,2014,5137232,74180.3238731011
NOR,2015,5188607,74869.35313024544
NOR,2016,5234519,75558.38238738976
NOR,2017,5276968,76247.4116445341
NOR,2018,5311916,76373.6474606092
NOR,2019,5347896,75830.42670668449
NOR,2020,5379475,75287.2059527598
NOR,2021,5408320,77812.7115614383
NZL,2003,4027200,33517.0893271345
NZL,2004,4087500,34372.5891093868
NZL,2005,4133900,35126.3341641095
NZL,2006,4184600,35665.3533259784
NZL,2007,4223800,36414.3173040299
NZL,2008,4259800,35739.3584607571
NZL,2009,4302600,35370.585185302
NZL,2010,4350700,35489.7631519026
NZL,2011,4384000,35957.523248516
NZL,2012,4408100,36607.1493914827
NZL,2013,4442100,37267.6586997514
NZL,2014,4516500,38056.2646732554
NZL,2015,4609400,38611.7120633109
NZL,2016,4714100,39167.159453366396
NZL,2017,4813600,39722.6068434219
NZL,2018,4900600,40371.5456268118
NZL,2019,4970300,40078.5093777274
NZL,2020,5072400,39785.473128643
NZL,2021,5084600,41490.1148198326
OMN,2003,2363796,19485.6441506077
OMN,2004,2404821,19534.8601445269
OMN,2005,2459802,19629.0451546015
OMN,2006,2514795,20096.3965576134
OMN,2007,2570174,20642.7489563377
OMN,2008,2626529,22007.7338963517
OMN,2009,2684659,22819.1977324647
OMN,2010,2757446,22766.0503620721
OMN,2011,3076763,20993.9079436935
OMN,2012,3547106,19824.1215485946
OMN,2013,3833913,19299.9400516869
OMN,2014,4002439,18726.2026946971
OMN,2015,4184895,18576.783651003065
OMN,2016,4390877,18427.364607309035
OMN,2017,4537396,18277.945563615
OMN,2018,4597877,18269.6769435562
OMN,2019,4591241,18006.78141180195
OMN,2020,4522497,17743.8858800477
OMN,2021,4500424,18291.3387983888
PAK,2003,167110248,1090.27523993746
PAK,2004,171286000,1146.99632842666
PAK,2005,175453212,1201.23359367214
PAK,2006,179682690,1243.94142602543
PAK,2007,184493231,1265.35567539842
PAK,2008,189499113,1258.05188934452
PAK,2009,194376534,1269.07432116444
PAK,2010,199239047,1256.69482201323
PAK,2011,203746065,1261.83161907857
PAK,2012,207667125,1275.48806898966
PAK,2013,211073978,1309.70080446386
PAK,2014,214264647,1343.30778121043
PAK,2015,217290883,1393.9591459003934
PAK,2016,220138869,1444.6105105903566
PAK,2017,223273967,1495.26187528032
PAK,2018,226928892,1561.68169819559
PAK,2019,230800899,1543.84383652933
PAK,2020,235001746,1526.00597486307
PAK,2021,239477801,1595.02792175422
PAN,2003,3189807,7037.08164896629
PAN,2004,3251155,7468.76593461799
PAN,2005,3313026,7935.87134515908
PAN,2006,3375024,8557.98017379308
PAN,2007,3437490,9507.64640169959
PAN,2008,3500648,10288.1549774225
